color	gene_n
maroon	PPA2
maroon	PPCS
maroon	PPP1R12A
maroon	PPP1R15B
maroon	PPP1R3D
maroon	PPP2CA
maroon	PPP2R3C
maroon	PPP3CA
maroon	PPP4R2
maroon	PRDM1
maroon	PRDX3
maroon	PRKAA1
maroon	PRKAR1A
maroon	PSMA3-AS1
maroon	PSMB8-AS1
maroon	PSMB9
maroon	PSMC2
maroon	PSMD6
maroon	PSTPIP2
maroon	PTAR1
maroon	PTBP2
maroon	PTEN
maroon	PTPN12
maroon	PTPRC
maroon	PUM2
maroon	PURB
maroon	PYURF
maroon	QKI
maroon	QPCT
maroon	R3HCC1L
maroon	RAB10
maroon	RAB11A
maroon	RAB18
maroon	RAB1A
maroon	RAB21
maroon	RAB27A
maroon	RAB2A
maroon	RAB31
maroon	RAB33B
maroon	RAB5A
maroon	RAB8A
maroon	RAB8B
maroon	RAP1A
maroon	RAP2C
maroon	RASA2
maroon	RB1
maroon	RB1CC1
maroon	RBBP8
maroon	RBCK1
maroon	RBM7
maroon	RBMS1
maroon	RBMXL1
maroon	RCHY1
maroon	REEP3
maroon	RESF1
maroon	RGS18
maroon	RGS2
maroon	RHOT1
maroon	RICTOR
maroon	RIT1
maroon	RLF
maroon	RLIM
maroon	RMI1
maroon	RMI2
maroon	RNASEL
maroon	RNF13
maroon	RNF130
maroon	RNF138
maroon	RNF141
maroon	RNF145
maroon	RNF146
maroon	RNF19A
maroon	RNF2
maroon	RNF213
maroon	ROCK1
maroon	ROCK2
maroon	RP2
maroon	RRM2B
maroon	RSAD2
maroon	RSBN1
maroon	RSBN1L
maroon	RTN4
maroon	RTP4
maroon	RUBCN
maroon	RUFY4
maroon	RYBP
maroon	S100A12
maroon	S100A8
maroon	S100A9
maroon	SAMD8
maroon	SAMD9
maroon	SAMD9L
maroon	SAMSN1
maroon	SASH3
maroon	SAT1
maroon	SCAF11
maroon	SCARF1
maroon	SCYL2
maroon	SCYL3
maroon	SDCBP
maroon	SDHAF3
maroon	SDHB
maroon	SEC22B
maroon	SELENOF
maroon	SELENOT
maroon	SELL
maroon	SEPTIN4
maroon	SERINC1
maroon	SERP1
maroon	SERPING1
maroon	SF3B6
maroon	SFT2D1
maroon	SGTB
maroon	SH3GLB1
maroon	SHFL
maroon	SHISA5
maroon	SHOC2
maroon	SIGLEC1
maroon	SKIL
maroon	SLC1A3
maroon	SLC25A24
maroon	SLC25A40
maroon	SLC27A3
maroon	SLC30A1
maroon	SLC35A5
maroon	SLC35B3
maroon	SLC35F5
maroon	SLC36A4
maroon	SLC38A2
maroon	SLC40A1
maroon	SLCO4C1
maroon	SLF1
maroon	SLK
maroon	SLMAP
maroon	SLU7
maroon	SMAD2
maroon	SMAD4
maroon	SMCHD1
maroon	SNX10
maroon	SNX13
maroon	SNX16
maroon	SNX6
maroon	SOS2
maroon	SP100
maroon	SP110
maroon	SP3
maroon	SPAG9
maroon	SPAST
maroon	SPATS2L
maroon	SPOPL
maroon	SPPL2A
maroon	SPTLC1
maroon	SQOR
maroon	SRBD1
maroon	SRGAP2
maroon	SRGN
maroon	ST20
maroon	ST6GALNAC3
